Code,Key,Industry,YICounts,Year,Equity,Asset,PPE,NI_Ctd,NI_Ctd_1,NI,NI_1,EBITDA,EBITDA_1,OCF,S,AR,Asset_1,S_1,AR_1,S_2,EXP,PROD
1614,16142022,M1600,16,2022,5560176,6832257,1863369,294886,370441,292660,368460,482614,584773,-40270,6143333,327430,6901569,5797322,352070,5488349,815479,5348691
1615,16152022,M1600,16,2022,2560653,3743418,1190758,431560,451298,400826,446549,593660,567436,128861,4432803,806564,3547914,4524568,650167,3165977,175056,3958444
1616,16162022,M1600,16,2022,1655070,3232467,771504,18454,94564,-6269,103352,116151,200055,-15107,3717472,584923,3126997,3208797,564716,2682733,181460,3597090
1617,16172022,M1600,16,2022,2128046,3297915,1145042,40659,205866,33969,204982,181613,349341,338011,3581378,695546,3615245,4619634,912075,2984283,294480,3292994
1618,16182022,M1600,16,2022,4300470,4831518,1309001,248077,232916,227592,238949,368954,353709,-99039,2864412,487110,4583435,2803841,339246,2822947,98654,2683680
1626,16262022,M1600,16,2022,3214905,8824855,2787713,473197,-307227,-216271,-312590,978200,92091,946982,9220863,1762172,9949720,10156591,2488529,9207346,1687691,7247538
1701,17012022,M1722,126,2022,7429577,12822563,4115976,479298,516355,464592,513802,922401,972466,167272,8456512,2265496,12786876,7948998,2052572,8181056,2708683,5583218
1702,17022022,M1200,29,2022,12379973,30463782,11954365,691717,1239144,702182,1268621,2281815,3267693,1427614,20478405,2196341,29413868,19861770,2100972,17621763,4452218,15330192
1707,17072022,M1722,126,2022,11141073,15053038,7360082,2169687,1947989,2167838,1946366,3139883,2846370,2990437,10391231,269647,14060879,9798246,300696,9168195,5929212,1878320
1708,17082022,M1721,41,2022,7131288,13836576,9472908,1204422,670871,1213129,673135,2232137,1342429,1732791,8025189,808220,12126036,4795266,682212,4034992,1099600,5913785
1709,17092022,M1721,41,2022,8549684,13270332,3765307,1081323,919057,968771,1194529,1627450,1311382,1127623,10571226,1084149,11587688,9199154,1162917,8481829,920630,9346833
1710,17102022,M1721,41,2022,14294735,34907804,14736488,-790025,1186755,-1882245,1186423,627889,2731553,-1045600,22081099,1126551,33776171,27481719,1337439,18763159,1102714,21999088
1711,17112022,M1721,41,2022,8806697,13132503,4541097,392540,481829,395286,482337,1227693,1346720,853174,8891702,1534805,14136270,9200988,1842446,7769066,1614415,7337065
1712,17122022,M1721,41,2022,8654676,16549289,5548342,1655325,929572,1823092,860971,2974820,2045306,2225304,23042876,3360028,16012080,18645875,2347742,17484401,4460635,16672230
1713,17132022,M1721,41,2022,2585299,2750190,327468,285908,157487,285908,140300,299028,174418,110737,571458,80565,2582254,624599,145571,475644,70149,510579
1714,17142022,M1721,41,2022,16023976,23044418,5256670,642566,1459548,646046,1579629,1521083,2607321,262506,22644215,3432950,24009123,20211458,3027464,25849191,1264787,20580024
