Key,Year,Trade,Industry,LGTA,RPA,RPA_Ctd,BM,LEV,OCF,MTB,Age,Age_Trade,Big4,GC,ESG,RD,ADV,YICounts
44062017,2017,OTC,M1400,13.60261432,0,0,1.19335741,0.287178313,-0.075767099,0.83797192,43,24,1,0,56.46,0.002635095,0.029919067,48
44132022,2022,OTC,M1400,13.08054714,0,0,0.678033593,0.273830452,0.368184633,1.474853179,36,24,0,0,54.26,0,0.076821355,51
44132021,2021,OTC,M1400,12.9385439,0,0,0.644434063,0.292787044,0.085551253,1.551749135,36,24,0,0,50.88,0,0.053695554,51
44132020,2020,OTC,M1400,12.6682016,0,0,0.73057635,0.092777725,-0.163838231,1.368782332,36,24,0,0,50.58,0,0.067511926,50
44132019,2019,OTC,M1400,12.81959203,0,0,0.850685212,0.144681416,-0.304869729,1.175522962,36,24,0,0,51.83,0,0.041532262,49
44132018,2018,OTC,M1400,12.65141851,0,0,0.719074805,0.130173667,0.166005778,1.390675898,36,24,0,0,48.34,0,0.028530484,49
44142022,2022,TSE,M1400,16.53586647,0,0,1.303762774,0.700489921,-0.067111246,0.767010702,46,24,0,0,46.62,0.000335068,0.07692402,51
44142021,2021,TSE,M1400,16.76669212,0,0,2.136248016,0.554612944,0.054255207,0.468110441,46,24,0,0,44.8,0.000477399,0.082835888,51
44142020,2020,TSE,M1400,16.89924006,0,0,1.427588139,0.505773659,0.029771423,0.700482144,46,24,0,0,56.62,0.000607278,0.072726034,50
44142019,2019,TSE,M1400,16.96816029,0,0,0.949644429,0.508657478,0.026736837,1.053025711,46,24,1,0,59.11,0.000779249,0.050560592,49
44142018,2018,TSE,M1400,17.04413701,0,0,1.037716525,0.480088975,-0.000119469,0.963654308,46,24,1,0,54.49,0.00089281,0.0443494,49
44142017,2017,TSE,M1400,17.04461798,0,0,1.075316029,0.472626809,0.038590808,0.929959168,46,24,1,0,52.29,0.000380146,0.051020566,48
44162022,2022,OTC,M2500,16.51052476,0,0,0.329760171,0.881546934,-0.113055696,3.032506918,44,23,0,0,49.51,0,0.019777046,83
44162021,2021,OTC,M2500,16.34453696,0,0,0.463198966,0.819640563,-0.150791505,2.158899465,44,23,0,0,50.6,0,0.029782759,83
44162020,2020,OTC,M2500,16.19681588,0,0,0.214733858,0.8909826,-0.0911252,4.65692746,44,23,0,0,47.61,0,0.013775015,81
44162019,2019,OTC,M2500,16.11156507,0,0,0.30929292,0.86304522,-0.145852196,3.233181025,44,23,0,0,53.73,0,0.021057251,82
44162018,2018,OTC,M2500,16.50845463,0,0,0.883200419,0.777393754,-0.277560013,1.13224584,44,23,0,0,57.56,0,0.003977924,82
