Year,Industry,Key,LGTA,MVE,RPA,RPA_Ctd,LN_RPA_Count,RPA_Count,Finance,KY,BM,ABSDA,DA,DA_ROA,ABCFO,ABPROD,ABEXP,LEV,OCF,MTB,Age,Age_Trade,Big4,GC,ESG,RD,ROA,ADJROA_I,ADJROA
2019,M1200,12152019,16.74137606,14629628.69,0,0,0,0,0,0,0.589693299,0.036411539,0.036411539,0.019745023,0.031113103,0.039277353,-0.050942678,0.537435549,0.105108797,1.695796784,46,36,1,0,61.19,0,0.11542673,0.055921889,0.051834099
2018,M1200,12152018,16.57489777,13415629.46,0,0,0,0,0,0,0.540912748,0.040837863,0.040837863,0.038468449,-0.032557754,-0.154071497,-0.042249121,0.540430042,0.063038104,1.848726997,46,36,1,0,58.38,0,0.071658596,0.012153755,0.010988963
2017,M1200,12152017,16.44640048,11062668.48,0,0,0,0,0,0,0.628918241,0.024074512,0.024074512,0.00849278,0.037661008,0.006603831,-0.029891813,0.498959177,0.123664116,1.590031796,46,36,1,0,52.03,0,0.132060203,0.072555362,0.072283239
2022,M1200,12162022,20.1279709,415639397.3,0,0,0,0,0,0,0.462407932,0.052626107,-0.052626107,-0.047855533,0.036501959,-0.119461282,0.155593199,0.651441814,0.113841817,2.162592661,56,36,1,0,70.54,0.001750729,0.051602864,-0.007901977,0.001239606
2021,M1200,12162021,20.05781092,350580325.5,0,0,0,0,0,0,0.516268974,0.038098995,-0.038098995,-0.037577884,0.032472575,-0.129038595,0.145040746,0.647899239,0.10962759,1.936974814,56,36,1,0,76.47,0.001969482,0.058134781,-0.001370059,-0.000296322
2020,M1200,12162020,20.02075191,368421852.6,0,0,0,0,0,0,0.490195117,0.043302344,-0.043302344,-0.046797537,0.05070087,-0.144066798,0.144869744,0.635403677,0.124602644,2.040004001,56,36,1,0,77.14,0.002018421,0.064510053,0.005005212,0.004271728
2019,M1200,12162019,19.98398104,346148353.8,0,0,0,0,0,0,0.502689968,0.041498559,-0.041498559,-0.044480518,0.057821153,-0.169822027,0.181167447,0.635556847,0.123302211,1.989297706,56,36,1,0,73.73,0.002038552,0.069958364,0.010453523,0.006365733
2018,M1200,12162018,19.82469244,389104387.2,0,0,0,0,0,0,0.437673898,0.018084335,-0.018084335,-0.01808288,0.018359203,0.00233058,0.168019559,0.581724676,0.105850104,2.284806118,56,36,1,0,74.48,0.002197038,0.064982078,0.005477237,0.004312445
2017,M1200,12162017,19.8429585,338761734.3,0,0,0,0,0,0,0.564704259,0.063205173,0.063205173,0.033028214,0.040336241,0.126315967,0.165001588,0.538652652,0.112050741,1.770838424,56,36,1,0,74.08,0.002434624,0.15839247,0.098887629,0.098615506
2022,M1200,12172022,16.43692669,6329766.4,0,0,0,0,0,0,1.187638141,0.023107286,0.023107286,0.03080187,-0.04291093,0.009399155,0.014764407,0.45348101,0.009347236,0.842007313,52,34,0,0,62.96,0.010113475,0.02079914,-0.038705701,-0.029564118
2021,M1200,12172021,16.44284039,4856117.66,0,0,0,0,0,0,1.52330926,0.022182085,0.022182085,0.031022109,-0.043440895,0.005169714,0.019246517,0.465383405,0.008624987,0.656465516,52,34,0,0,62.93,0.011098139,0.016278337,-0.043226504,-0.042152766
2020,M1200,12172020,16.40634199,5409972.22,0,0,0,0,0,0,1.267746621,0.002888905,-0.002888905,0.005703435,-0.014133423,-0.001890885,0.023522546,0.485904618,0.037238157,0.788801156,52,34,0,0,61.67,0.009077934,0.019338886,-0.040165955,-0.040899439
2019,M1200,12172019,16.37242666,3540713.08,0,0,0,0,0,0,1.818635358,0.004088662,0.004088662,0.0162344,-0.034584709,0.00388464,0.024170767,0.500676722,0.017459929,0.549862838,52,34,0,0,59.18,0.009500837,0.005191414,-0.054313427,-0.058401217
2018,M1200,12172018,16.34800172,3313237.1,0,0,0,0,0,0,1.893000655,0.011325194,-0.011325194,0.000806727,-0.017261271,0.000329932,0.030066006,0.501624894,0.034198508,0.528261835,52,34,0,0,60.15,0.009438387,0.00512053,-0.054384311,-0.055549103
2017,M1200,12172017,16.32040675,3639615.68,0,0,0,0,0,0,1.682540009,0.023356306,0.023356306,0.033388015,-0.045256712,0.035840432,0.03458688,0.499783129,0.006441443,0.594339507,52,34,0,0,59.78,0.011324518,0.012572052,-0.046932789,-0.047204913
2022,M1200,12182022,16.62819725,13764972.47,0,0,0,0,0,0,0.913031902,0.280496959,0.280496959,0.20991304,-0.124077788,0.087084178,0.05133199,0.245382298,-0.025872786,1.095251982,63,34,1,0,62.88,0,0.556346912,0.496842071,0.505983654
2021,M1200,12182021,16.179969,14939970.12,0,0,0,0,0,0,0.467947857,0.089754106,0.089754106,0.092914284,-0.1167274,0.060964754,0.02339124,0.342832711,-0.025713847,2.136990233,63,34,1,0,58.22,0,0.064068617,0.004563776,0.005637514
2020,M1200,12182020,16.03908112,13299973.4,0,0,0,0,0,0,0.528692937,0.059929806,0.059929806,0.049747074,-0.030786432,0.004956578,0.025968383,0.239025937,0.044302734,1.891457082,63,34,1,0,59.58,0,0.092264491,0.03275965,0.032026166
2019,M1200,12182019,16.03789886,10434979.13,0,0,0,0,0,0,0.632983825,0.036892244,0.036892244,0.032585455,-0.03307644,0.014905273,0.02702481,0.284329325,0.039135271,1.5798192,63,34,1,0,57.14,0,0.066106605,0.006601764,0.002513973
2018,M1200,12182018,15.99105764,8564982.87,0,0,0,0,0,0,0.747544869,0.019887531,0.019887531,0.017426783,-0.024193026,0.151573653,0.048476632,0.272997894,0.047692279,1.337712345,63,34,1,0,56.53,0,0.062106548,0.002601707,0.001436915
2017,M1200,12182017,15.82801243,7644984.71,0,0,0,0,0,0,0.499934159,0.050727144,0.050727144,0.050502709,-0.064756963,0.096839008,0.043001113,0.489176375,0.009763683,2.000263399,63,34,1,0,55.1,0,0.040248408,-0.019256433,-0.019528557
2022,M1200,12192022,16.14527249,6562645.32,0,0,0,0,0,0,0.67561262,0.075855611,0.075855611,0.090962233,-0.148636738,0.191245402,-0.046907936,0.568506821,-0.023942983,1.48013813,68,33,0,0,69.08,0.003326881,0.033390873,-0.026113968,-0.016972385
2021,M1200,12192021,16.02928575,5963699.28,0,0,0,0,0,0,0.75023518,0.066413453,0.066413453,0.081965675,-0.130050219,0.157457123,-0.036085532,0.511029328,-0.011525547,1.332915367,68,33,0,0,69.91,0.002435789,0.032906892,-0.026597949,-0.025524212
2020,M1200,12192020,15.96144921,6627048.12,0,0,0,0,0,0,0.670496716,0.004003787,0.004003787,-3.81E-05,-0.001379578,0.083837785,-0.039582739,0.480306285,0.096248881,1.491431615,68,33,0,0,70.08,0.002910542,0.063242351,0.00373751,0.003004026
2019,M1200,12192019,16.00577441,5783371.44,0,0,0,0,0,0,0.684598947,0.063060638,0.063060638,0.074221511,-0.11090939,0.139833906,-0.042050591,0.557006037,-0.012483146,1.460709229,68,33,0,0,66.49,0.003226379,0.016602496,-0.042902345,-0.046990136
2018,M1200,12192018,15.95740176,4862411.4,0,0,0,0,0,0,0.784925767,0.015433512,-0.015433512,0.004592158,-0.057893709,0.075433478,-0.044996179,0.551803194,0.038607123,1.274005826,68,33,0,0,66.35,0.003559356,-0.011300568,-0.070805409,-0.071970201
2017,M1200,12192017,15.95107094,4930034.34,0,0,0,0,0,0,0.800736613,0.082389278,0.082389278,0.092666534,-0.129822098,-0.12880942,-0.044598555,0.533472185,-0.036941488,1.248850101,68,33,0,0,66.75,0.003358839,0.006847991,-0.05265685,-0.052928974
2022,M1200,12202022,14.97957501,2594192.7,0,0,0,0,0,0,0.938261448,0.079835783,0.079835783,0.089274875,-0.108893069,0.13667125,-0.064091063,0.240059945,-0.032290797,1.065801011,54,32,0,0,51.37,0,0.021753567,-0.037751274,-0.028609691
