,TAC,A1,A2,A3,DA
1476,-0.018218796,5.79E-08,-0.00504,0.224936167,-0.002261599
1477,0.056300891,6.22E-08,0.0258,0.32909037,0.080061658
1478,0.086993912,5.03E-08,0.165,0.192120673,0.092804351
1479,-0.037652954,3.86E-08,0.104,0.160819991,-0.032023264
1480,0.033416561,4.95E-07,-0.0236,0.295903069,0.058092991
1481,-0.02922436,4.99E-07,0.133,0.288581698,-0.011849121
1482,-0.024436092,5.08E-07,-0.114,0.29975022,0.00448138
1483,0.086071667,5.01E-07,0.14,0.285918301,0.102923141
1484,0.049371683,4.81E-07,0.12,0.268207625,0.065452125
1485,-0.113489222,4.47E-07,-0.032,0.241516756,-0.09339772
1486,-0.074068512,7.93E-07,-0.0184,0.368389444,-0.042101955
1487,0.027978917,8.63E-07,0.0594,0.412684563,0.060774575
1488,-0.031212115,8.10E-07,0.00251,0.38348599,0.001248496
1489,-0.028142732,8.09E-07,-0.0531,0.373404234,0.005802217
1490,0.061172971,8.36E-07,0.0339,0.382014145,0.092270479
1491,-0.019404738,7.62E-07,0.00342,0.360911537,0.010854254
1492,-0.016293825,8.67E-08,0.136,0.287416002,-0.000776066
1493,-0.12151974,8.32E-08,0.0161,0.310593664,-0.098878812
1494,-0.002701203,8.58E-08,-0.206,0.395664355,0.036852798
1495,-0.100488603,8.24E-08,-0.276,0.382467273,-0.059117301
1496,0.149244783,7.57E-08,0.354,0.362528981,0.161988952
1497,-0.052902844,5.24E-08,-0.0241,0.316766397,-0.028130105
1498,0.02792001,5.19E-08,0.295,0.194643226,0.028415241
1499,-0.033030044,5.09E-08,-0.196,0.191151311,-0.011911554
1500,0.057836932,5.28E-08,-0.125,0.190495849,0.075878789
1501,-0.055642454,5.34E-08,-0.0761,0.187634153,-0.039933095
1502,0.057362573,5.71E-08,0.338,0.196603591,0.056216246
1503,-0.10265726,4.96E-08,-0.134,0.165459065,-0.086431965
1504,0.154524037,1.69E-07,0.00323,0.560783681,0.199914592
1505,0.075076605,1.26E-07,0.328,0.417304222,0.09391269
1506,-0.079660906,1.21E-07,0.00951,0.413510589,-0.047596256
1507,0.024635051,1.27E-07,-0.0387,0.460078837,0.062846351
1508,-0.08259916,1.20E-07,0.266,0.483232124,-0.055379151
1509,0.014727227,1.11E-07,0.101,0.486265518,0.049210746
1510,-0.114826815,3.03E-08,0.159,0.646226164,-0.069157865
1511,-0.005306135,2.66E-08,0.173,0.671400217,0.041951075
1512,0.005112239,2.05E-08,-0.161,0.578396077,0.058457342
1513,-0.073955371,2.07E-08,-0.00946,0.576525077,-0.027233363
1514,-0.098088587,2.08E-08,0.168,0.569432036,-0.059551469
1515,-0.033866826,1.96E-08,0.058,0.542383998,0.006991492
1516,0.002577372,1.01E-07,-0.0202,0.143715617,0.01225315
1517,-0.005444622,1.01E-07,0.0233,0.136894969,0.001781957
1518,-0.034080324,8.92E-08,0.0318,0.122150633,-0.028551608
1519,-0.032033358,7.87E-08,-0.00149,0.149023775,-0.0227789
1520,0.035915489,7.48E-08,0.0663,0.182853946,0.045220733
1521,0.00612605,6.48E-08,0.0884,0.19150005,0.015205281
1522,0.037176391,9.90E-07,0.237,0.18691623,0.043174026
1523,0.030722267,7.95E-07,0.112,0.141178088,0.037280672
1524,-0.204568713,1.00E-06,-0.314,0.114559696,-0.181351966
1525,0.02308514,1.26E-06,-0.25,0.178691621,0.050199012
1526,0.154850716,9.85E-07,0.121,0.125494161,0.160407448
1527,0.002880935,8.52E-07,-0.0389,0.142853126,0.016245271
1528,-0.01083699,8.44E-08,0.00457,0.722932339,0.048331905
1529,-0.006811847,7.82E-08,0.0361,0.630526705,0.042913896
1530,-0.043381629,7.82E-08,-0.0358,0.581873573,0.005157597
1531,-0.07429079,8.23E-08,0.0198,0.587090498,-0.027649664
1532,0.104942248,7.98E-08,0.0594,0.550405984,0.146679625
1533,-0.140007753,7.01E-08,0.0163,0.4201225,-0.107855785
1534,0.078325802,7.78E-07,0.0756,0.464273065,0.114604643
1535,0.008747945,6.89E-07,0.0647,0.413985061,0.040745192
1536,-0.029752969,6.27E-07,0.0409,0.358983851,-0.001791679
1537,-0.07129883,6.07E-07,-0.016,0.334746385,-0.043111057
1538,0.098910708,5.98E-07,0.158,0.310074693,0.117488502
1539,-0.043014667,5.07E-07,0.0169,0.246708527,-0.02431707
1540,0.055427892,3.10E-07,0.0773,0.413552646,0.085351762
1541,0.066974459,2.76E-07,0.0855,0.322931724,0.088495127
1542,-0.161365613,3.06E-07,-0.15,0.347036405,-0.127577535
1543,-0.076727386,3.40E-07,-0.162,0.362011777,-0.040984387
1544,0.131107843,3.52E-07,0.306,0.359289935,0.146704959
1545,-0.134046596,2.96E-07,-0.0955,0.30327557,-0.106445742
1546,0.027780215,6.85E-07,-0.019,0.416327668,0.063532013
1547,0.021333178,6.96E-07,0.159,0.403215205,0.048396561
1548,-0.019958621,6.92E-07,0.268,0.412327267,0.003237253
1549,0.05571014,5.13E-07,0.123,0.307767523,0.075244082
1550,0.039218353,3.84E-07,0.236,0.237356289,0.047271358
1551,-0.048655944,3.42E-07,-0.0748,0.234253128,-0.027789572
1552,0.024572412,5.94E-07,0.0264,0.226001735,0.041398918
1553,-0.015645098,4.74E-07,0.264,0.24433576,-0.00781927
1554,0.015548157,3.33E-07,0.161,0.141062411,0.018182813
1555,-0.097918259,3.43E-07,-0.141,0.139588025,-0.082498216
1556,0.108897699,4.07E-07,0.0909,0.15673146,0.116184901
1557,-0.026953446,3.36E-07,0.164,0.126867251,-0.025672325
1558,-0.095071477,7.45E-07,0.128,0.456874056,-0.06180623
1559,-0.016825761,7.21E-07,0.112,0.413556595,0.013244445
1560,-0.04054045,7.03E-07,-0.259,0.499404628,0.012775015
1561,-0.058605553,6.70E-07,-0.125,0.48019449,-0.012811097
1562,-0.035669855,6.68E-07,0.137,0.623084085,0.011432466
1563,-0.0266872,5.44E-07,0.0973,0.541049243,0.014451561
1564,0.001583986,1.69E-07,0.118,0.513874044,0.037981785
1565,0.239259113,1.30E-07,0.0397,0.509230329,0.27843845
1566,-0.083484267,1.20E-07,0.0288,0.497639526,-0.044894474
1567,0.011489497,1.24E-07,-0.176,0.505951576,0.059551417
1568,0.169068941,1.19E-07,0.71,0.479030821,0.176986624
1569,-0.217294111,8.97E-08,0.0218,0.402021308,-0.186881
1570,-0.004775382,6.18E-07,0.0496,0.331261842,0.020356808
1571,-0.037617687,6.31E-07,-0.136,0.308137954,-0.006544621
1572,-0.159706024,6.19E-07,-0.083,0.241185484,-0.136788147
1573,-0.068871302,6.46E-07,0.0983,0.231859968,-0.054393211
1574,-0.124353448,6.81E-07,0.0294,0.234929443,-0.106529861
1575,-0.123626775,1.12E-06,-0.0087,0.550923841,-0.074821984
1576,-0.004990581,4.39E-08,0.0479,0.374335138,0.021709668
1577,-0.038234688,4.21E-08,-0.0465,0.351674197,-0.009497304
1578,-0.113124741,4.27E-08,0.0238,0.353742059,-0.087201368
1579,-0.016627718,3.62E-08,-0.0461,0.299483896,0.007508607
1580,0.070162962,3.12E-08,-0.0406,0.259763455,0.090574337
1581,0.05194327,2.68E-08,0.000825,0.210686593,0.066282569
1582,-0.002390002,7.04E-08,0.0229,0.749803814,0.058290478
1583,-0.11464262,6.49E-08,-0.0291,0.644922797,-0.060931696
1584,-0.082908754,7.04E-08,-0.0161,0.617326754,-0.032141852
1585,-0.033102872,7.35E-08,0.0656,0.63865104,0.016056522
1586,-0.137246796,6.86E-08,-0.227,0.434103091,-0.093506653
1587,-0.129015431,8.64E-08,0.0155,0.455168067,-0.093702612
1588,-0.025570547,3.36E-08,0.166,0.287495129,-0.01153442
1589,-0.021148344,3.45E-08,-0.0562,0.302380975,0.003665042
1590,-0.054770574,3.31E-08,-0.0342,0.332032381,-0.028309598
1591,-0.073414444,3.08E-08,-0.143,0.323436626,-0.043075354
1592,0.053680924,3.42E-08,0.246,0.346949141,0.069504033
1593,-0.003142518,3.05E-08,0.0606,0.304204816,0.016834872
1594,-0.008467281,3.23E-08,0.104,0.381200782,0.016395435
1595,-0.001285994,2.75E-08,0.0855,0.380189041,0.024258001
1596,-0.084674959,2.00E-08,-0.00509,0.312801094,-0.061187063
1597,-0.051567205,1.94E-08,-0.0988,0.339878036,-0.021720698
1598,-0.007295388,1.99E-08,0.135,0.333430277,0.01202237
1599,-0.001686014,1.74E-08,-0.031,0.335860678,0.024911103
1600,-0.018389958,5.95E-09,-0.0324,0.624433468,0.033438235
1601,-0.0645442,5.58E-09,-0.019,0.576569827,-0.017471219
1602,-0.087671799,5.72E-09,0.000661,0.548684288,-0.043873214
1603,-0.08193548,6.10E-09,-0.089,0.545886052,-0.034557461
1604,-0.066833312,6.61E-09,0.0487,0.53857747,-0.025962424
1605,-0.065342449,6.68E-09,-0.0264,0.504382706,-0.024257643
1606,0.024073132,2.39E-08,0.017,0.288434843,0.044505275
1607,-0.033946743,2.44E-08,0.0323,0.34344655,-0.009357621
1608,-0.00870528,2.49E-08,0.0154,0.354847428,0.017602513
1609,-0.042862758,2.38E-08,-0.0482,0.346122142,-0.01461036
1610,0.044440688,2.36E-08,0.107,0.347534712,0.066199128
1611,-0.024120202,2.16E-08,0.0814,0.35251858,-0.000842792
1612,-0.017195995,6.95E-08,0.00315,0.061874691,-0.015790983
1613,-0.014795643,6.72E-08,-0.022,0.063351952,-0.012198197
1614,-0.095854334,7.08E-08,0.0979,0.063125129,-0.098374282
1615,-0.095608877,7.70E-08,0.0361,0.065367951,-0.095273491
1616,-0.072245441,8.16E-08,-0.0321,0.066008926,-0.068928575
1617,0.053280331,7.62E-08,-0.0662,0.060495134,0.057548068
1618,-0.042041503,1.20E-07,0.235,0.310941212,-0.02855532
1619,-0.026787626,1.13E-07,0.22,0.281464619,-0.015265675
1620,-0.046873668,9.85E-08,-0.12,0.227818386,-0.025603265
1621,-0.021467185,9.37E-08,0.1,0.242439929,-0.008316998
1622,-0.080043968,6.94E-08,0.674,0.198125394,-0.095333248
1623,0.061084487,4.82E-08,-0.50682,0.134202713,0.090467032
1624,-0.124863751,1.22E-07,-0.0372,0.377111657,-0.093986316
1625,-0.065199369,1.37E-07,-0.0579,0.455665803,-0.0265153
1626,-0.035889742,1.40E-07,-0.00111,0.475731815,0.002141483
1627,-0.04628846,1.35E-07,-0.0449,0.477762602,-0.006234399
1628,0.018982983,1.24E-07,0.0664,0.42037453,0.04923472
1629,-0.055030005,1.20E-07,0.00668,0.402764968,-0.023787199
1630,0.045117212,3.79E-07,0.00457,0.410296726,0.078128383
1631,-0.023854489,3.62E-07,0.0619,0.405552915,0.006232562
