代號,名稱,Year,Industry,Key,RPA_Ctd,RPA,LN_RPA_Count,RPA_Count,Finance,KY,OS,Equity,Asset,Price,eps2,eps1,dvps1
1308,亞聚,2018,M1300,13082018,0,0,0,0,0,0,554383,9604436,15597743,10.09,0.51,1.12,0.205296
1308,亞聚,2017,M1300,13082017,0,0,0,0,0,0,518115,9816470,14876001,11.89,1.12,1.37,0.621021
1309,台達化,2022,M1300,13092022,0,0,0,0,0,0,397587,7206214,9240876,19.69,1.08,4.88,1.997872
1309,台達化,2021,M1300,13092021,0,0,0,0,0,0,378654,7661813,10744659,23.96,4.88,5.57,1.997402
1309,台達化,2020,M1300,13092020,0,0,0,0,0,0,344231,6355806,9245870,32.63,5.57,1.06,0.267014
1309,台達化,2019,M1300,13092019,0,0,0,0,0,0,334205,4299763,8004741,10.34,1.06,0.56,0.176456
1309,台達化,2018,M1300,13092018,0,0,0,0,0,0,327652,3991957,8727546,7.3,0.56,1.6,0
1309,台達化,2017,M1300,13092017,0,0,0,0,0,0,327652,3905550,8811435,10.83,1.6,0.41,0
1310,台苯,2022,M1300,13102022,0,0,0,0,0,0,527870,6722246,8912648,16.34,-0.86,0.19,0.14383
1310,台苯,2021,M1300,13102021,0,0,0,0,0,0,527870,7371126,9299190,14.02,0.19,0.36,0.33048
