CompanyCode,CompanyName,ReportReason,Industry,AssuranceType,ReportURL,ReleaseDate,RPA_Count
2349,錸德,5.股本達新臺幣五十億元以上者,光電業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2349_109.pdf,110/06/18,0
2351,順德,6.係自願編製與申報,半導體業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2351_109.pdf,110/09/28,0
2352,佳世達,5.股本達新臺幣五十億元以上者,電腦及週邊設備業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2352_109.pdf,110/06/28,0
2353,宏碁,5.股本達新臺幣五十億元以上者,電腦及週邊設備業,會計師事務所：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2353_109.pdf,110/06/30,0
2354,鴻準,5.股本達新臺幣五十億元以上者,其他電子業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2354_109.pdf,110/06/25,0
2356,英業達,5.股本達新臺幣五十億元以上者,電腦及週邊設備業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2356_109.pdf,110/06/28,0
2357,華碩,5.股本達新臺幣五十億元以上者,電腦及週邊設備業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2357_109.pdf,110/06/30,0
2360,致茂,6.係自願編製與申報,其他電子業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2360_109.pdf,110/09/29,0
2362,藍天,5.股本達新臺幣五十億元以上者,電腦及週邊設備業,會計師事務所：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2362_109.pdf,110/08/30,0
2363,矽統,5.股本達新臺幣五十億元以上者,半導體業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2363_109.pdf,110/06/21,0
2367,燿華,5.股本達新臺幣五十億元以上者,電子零組件業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2367_109.pdf,110/06/24,0
2368,金像電,5.股本達新臺幣五十億元以上者,電子零組件業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2368_109.pdf,110/06/30,0
2371,大同,5.股本達新臺幣五十億元以上者,電機機械,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2371_109.pdf,110/06/28,0
2376,技嘉,5.股本達新臺幣五十億元以上者,電腦及週邊設備業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2376_109.pdf,110/06/25,0
2377,微星,5.股本達新臺幣五十億元以上者,電腦及週邊設備業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2377_109.pdf,110/06/28,0
2379,瑞昱,5.股本達新臺幣五十億元以上者,半導體業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2379_109.pdf,110/06/30,0
2382,廣達,5.股本達新臺幣五十億元以上者,電腦及週邊設備業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2382_109.pdf,110/06/30,0
2383,台光電,6.係自願編製與申報,電子零組件業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2383_109.pdf,110/06/30,0
2385,群光,5.股本達新臺幣五十億元以上者,電子零組件業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2385_109.pdf,110/06/25,0
2392,正崴,5.股本達新臺幣五十億元以上者,電子零組件業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2392_109.pdf,110/06/28,0
2393,億光,6.係自願編製與申報,光電業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2393_109.pdf,110/07/30,0
2395,研華,5.股本達新臺幣五十億元以上者,電腦及週邊設備業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2395_109.pdf,110/06/21,0
2401,凌陽,5.股本達新臺幣五十億元以上者,半導體業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2401_109.pdf,110/06/11,0
2408,南亞科,5.股本達新臺幣五十億元以上者,半導體業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2408_109.pdf,110/06/29,0
2409,友達,5.股本達新臺幣五十億元以上者,光電業,會計師事務所：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2409_109.pdf,110/06/30,0
2412,中華電,5.股本達新臺幣五十億元以上者,通信網路業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2412_109.pdf,110/06/30,0
2417,圓剛,6.係自願編製與申報,電腦及週邊設備業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2417_109.pdf,110/09/24,0
2420,新巨,6.係自願編製與申報,電子零組件業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2420_109.pdf,110/08/17,0
2421,建準,6.係自願編製與申報,電子零組件業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2421_109.pdf,110/10/06,0
2423,固緯,6.係自願編製與申報,其他電子業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2423_109.pdf,110/09/22,0
2439,美律,6.係自願編製與申報,通信網路業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2439_109.pdf,110/08/31,0
2441,超豐,5.股本達新臺幣五十億元以上者,半導體業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2441_109.pdf,110/06/25,0
2442,新美齊,6.係自願編製與申報,建材營造,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2442_109.pdf,110/06/28,0
2449,京元電子,5.股本達新臺幣五十億元以上者,半導體業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2449_109.pdf,110/06/30,0
2450,神腦,6.係自願編製與申報,通信網路業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2450_109.pdf,110/09/03,0
2454,聯發科,5.股本達新臺幣五十億元以上者,半導體業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2454_109.pdf,110/06/30,0
2457,飛宏,6.係自願編製與申報,電子零組件業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2457_109.pdf,110/08/26,0
2458,義隆,6.係自願編製與申報,半導體業,其他查驗證單位：,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2458_109.pdf,110/08/18,0
2474,可成,5.股本達新臺幣五十億元以上者,其他電子業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2474_109.pdf,110/06/30,0
2480,敦陽科,6.係自願編製與申報,資訊服務業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2480_109.pdf,110/07/01,0
2484,希華,6.係自願編製與申報,電子零組件業,無,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_2484_109.pdf,110/08/23,0
