代號,名稱,Year,Industry,Key,RPA,RPA_Ctd,LN_RPA_Count,RPA_Count,Finance,KY,BM,ABSDA,DA,LGTA,LEV,OCF,MTB
1236,宏亞,2018,M1200,12362018,0,0,0,0,0,0,1.257634951,0.021350224,-0.021350224,14.84235506,0.343178114,0.069929136,0.795143296
1236,宏亞,2017,M1200,12362017,0,0,0,0,0,0,0.96943321,0.041845366,0.041845366,14.89162635,0.400591287,0.007153805,1.031530579
1240,茂生農經,2022,M3300,12402022,0,0,0,0,0,0,0.77188383,0.042475345,0.042475345,14.61042611,0.40487767,-0.04198073,1.295531738
1240,茂生農經,2021,M3300,12402021,0,0,0,0,0,0,0.957961599,0.03383147,0.03383147,14.57265971,0.35258319,0.022407957,1.04388318
1240,茂生農經,2020,M3300,12402020,0,0,0,0,0,0,0.817448702,0.001046133,0.001046133,14.45454891,0.334321023,0.081846433,1.223318353
1240,茂生農經,2019,M3300,12402019,0,0,0,0,0,0,0.698386397,0.047299336,0.047299336,14.35042315,0.399072453,0.037544683,1.431872104
1240,茂生農經,2018,M3300,12402018,0,0,0,0,0,0,1.06998653,0.033167167,0.033167167,14.29524853,0.277265325,0.036215742,0.934591205
6689,伊雲谷,2021,M2331,66892021,1,1,0.693147181,1,0,0,#N/A,0.202679195,-0.202679195,15.25952509,0.588634001,0.214556854,#N/A
1256,鮮活果汁-KY,2022,M1200,12562022,0,0,0,0,0,1,0.40026665,0.068169586,0.068169586,15.35732916,0.122623811,0.067755299,2.498334548
1256,鮮活果汁-KY,2021,M1200,12562021,0,0,0,0,0,1,0.464022812,0.031239983,0.031239983,15.38860726,0.165998487,0.139597673,2.155066463
1256,鮮活果汁-KY,2020,M1200,12562020,0,0,0,0,0,1,0.196215229,0.017261793,0.017261793,15.08455455,0.249255787,0.242895332,5.096444374
1256,鮮活果汁-KY,2019,M1200,12562019,0,0,0,0,0,1,0.328630389,0.010384807,-0.010384807,14.96185054,0.345854884,0.229253922,3.042932223
1256,鮮活果汁-KY,2018,M1200,12562018,0,0,0,0,0,1,0.383105127,0.000610773,-0.000610773,14.77406199,0.317728408,0.2024329,2.610249588
1256,鮮活果汁-KY,2017,M1200,12562017,0,0,0,0,0,1,0.368593777,0.020749591,-0.020749591,14.65798035,0.343157364,0.16612068,2.71301379
1259,安心,2022,M2700,12592022,0,0,0,0,0,0,0.831123203,0.169950507,-0.169950507,15.48779913,0.623324886,0.193078615,1.203191051
1259,安心,2021,M2700,12592021,0,0,0,0,0,0,0.982289904,0.116217919,-0.116217919,15.48068625,0.604416977,0.141791646,1.018029398
1259,安心,2020,M2700,12592020,0,0,0,0,0,0,0.999154257,0.152204054,-0.152204054,15.35517494,0.584070212,0.191082827,1.000846459
1259,安心,2019,M2700,12592019,0,0,0,0,0,0,0.933210106,0.132881525,-0.132881525,15.33512069,0.592409313,0.171752935,1.07157005
1259,安心,2018,M2700,12592018,0,0,0,0,0,0,0.937190749,0.084055727,-0.084055727,14.89742013,0.39367144,0.130866676,1.067018642
1259,安心,2017,M2700,12592017,0,0,0,0,0,0,0.88030801,0.076746924,-0.076746924,14.89861624,0.397078514,0.133917928,1.135966035
1264,德麥,2022,M1200,12642022,0,0,0,0,0,0,0.354177461,0.050528614,0.050528614,15.36447995,0.226358975,0.129937278,2.823443359
1264,德麥,2021,M1200,12642021,0,0,0,0,0,0,0.370383297,0.02238276,0.02238276,15.2653664,0.208661818,0.160483519,2.699905768
1264,德麥,2020,M1200,12642020,0,0,0,0,0,0,0.386226358,0.005097543,0.005097543,15.20723341,0.214083192,0.169762441,2.589155244
1264,德麥,2019,M1200,12642019,0,0,0,0,0,0,0.493713061,0.002382206,-0.002382206,15.0752429,0.178170214,0.181986382,2.025467987
