代號,名稱,年/月,Year,Key,Equity,TA,NI,BVE,NB,LNAT,NIS,Industry,Price3m,RPA,LN_RPA_Count,RPA_Count,Finance,KY,Price
1235,興泰,21-Dec,2021,12352021,3614794,4677445,81793,34.63,0.022627292,15,0.78,M1200,29.87,0,0,0,0,0,39.49
1235,興泰,20-Dec,2020,12352020,2997328,4167382,64211,28.71,0.021422747,15,0.62,M1200,19.13,0,0,0,0,0,21.66
1235,興泰,19-Dec,2019,12352019,2583303,4206027,49143,26.11,0.01902332,15,0.5,M1200,14.38,0,0,0,0,0,15.56
1235,興泰,18-Dec,2018,12352018,5083655,6830742,103299,57.8,0.020319829,16,1.17,M1200,15.46,0,0,0,0,0,15.4
1235,興泰,17-Dec,2017,12352017,4158465,5735515,127328,68.55,0.03061899,16,2.1,M1200,12.84,0,0,0,0,0,14.49
1236,宏亞,22-Dec,2022,12362022,2932606,4122836,-29486,27.07,-0.010054539,15,-0.27,M1200,26.22,0,0,0,0,0,25.62
1236,宏亞,21-Dec,2021,12362021,2128491,3456496,-27478,19.65,-0.012909615,15,-0.25,M1200,28.43,0,0,0,0,0,30.76
1236,宏亞,20-Dec,2020,12362020,1607981,2764972,-2260,14.84,-0.001405489,15,-0.02,M1200,14.56,0,0,0,0,0,16.44
1236,宏亞,19-Dec,2019,12362019,1684512,2736135,13227,15.55,0.007852126,15,0.12,M1200,10.64,0,0,0,0,0,12.69
1236,宏亞,18-Dec,2018,12362018,1834005,2792241,13217,16.93,0.007206632,15,0.12,M1200,14.5,0,0,0,0,0,13.46
1236,宏亞,17-Dec,2017,12362017,1758224,2933264,5409,16.23,0.0030764,15,0.05,M1200,17.33,0,0,0,0,0,16.74
1240,茂生農經,22-Dec,2022,12402022,1317752,2214254,-13815,34.14,-0.010483763,15,-0.36,M3300,43.37,0,0,0,0,0,44.23
1240,茂生農經,21-Dec,2021,12402021,1380415,2132189,103540,37.55,0.075006429,15,2.82,M3300,44.98,0,0,0,0,0,39.2
1240,茂生農經,20-Dec,2020,12402020,1261234,1894658,141820,36.03,0.11244543,14,4.05,M3300,44.87,0,0,0,0,0,44.07
1240,茂生農經,19-Dec,2019,12402019,1025963,1707299,132303,30.18,0.128954943,14,3.89,M3300,32.81,0,0,0,0,0,43.22
1240,茂生農經,18-Dec,2018,12402018,1167687,1615651,101362,35.38,0.086805796,14,3.07,M3300,30.59,0,0,0,0,0,33.07
6689,伊雲谷,21-Dec,2021,66892021,1743235,4237674,212036,29.05,0.121633629,15,3.53,M2331,#N/A,1,0.693147181,1,0,0,#N/A
1256,鮮活果汁-KY,22-Dec,2022,12562022,4100050,4673081,468455,121.15,0.114255924,15,13.84,M1200,325.7,0,0,0,0,1,302.68
1256,鮮活果汁-KY,21-Dec,2021,12562021,4021185,4821556,717313,118.82,0.178383486,15,21.2,M1200,273.83,0,0,0,0,1,256.07
1256,鮮活果汁-KY,20-Dec,2020,12562020,2670735,3557450,780385,78.92,0.29219859,15,23.06,M1200,403.57,0,0,0,0,1,402.2
1256,鮮活果汁-KY,19-Dec,2019,12562019,2058369,3146655,539021,60.82,0.261868013,15,15.93,M1200,155.85,0,0,0,0,1,185.08
