代號,名稱,年月,Key6,PRC,PrePRC,PRC_YE,常續性EPS,Pre常續性EPS,NEG,PreNEG,Key,PRC_YE,Year,Industry,dNEG,dEPSS,EPSS,Annret,RPA,RPA_Ctd,LN_RPA_Count,RPA_Count,Finance,KY
1231,聯華食,18-Jun,12312018,20.34,18.29,18.59,2.37,2.71,0,0,12312017,18.59,2017,M1200,0,-0.018289403,0.127487897,0.112083106,0,0,0,0,0,0
1232,大統益,23-Jun,12322023,146.5,145.52,135.43,6.97,7.54,0,0,12322022,135.43,2022,M1200,0,-0.004208816,0.051465702,0.006734469,0,0,0,0,0,0
1232,大統益,22-Jun,12322022,145.52,147.02,146.66,7.54,8.06,0,0,12322021,146.66,2021,M1200,0,-0.003545616,0.051411428,-0.010202694,0,0,0,0,0,0
1232,大統益,21-Jun,12322021,147.02,104.42,126.97,8.06,6.1,0,0,12322020,126.97,2020,M1200,0,0.015436717,0.063479562,0.407967822,0,0,0,0,0,0
1232,大統益,20-Jun,12322020,104.42,106.58,103.57,6.1,5.47,0,0,12322019,103.57,2019,M1200,0,0.006082843,0.058897364,-0.020266467,0,0,0,0,0,0
1232,大統益,19-Jun,12322019,106.58,73.77,80.65,5.47,5.4,0,0,12322018,80.65,2018,M1200,0,0.000867948,0.067823931,0.444760743,0,0,0,0,0,0
1232,大統益,18-Jun,12322018,73.77,70.5,70.41,5.4,5.67,0,0,12322017,70.41,2017,M1200,0,-0.003834683,0.076693651,0.046382979,0,0,0,0,0,0
1233,天仁,23-Jun,12332023,37.54,32.17,31.67,0.57,0.19,0,0,12332022,31.67,2022,M1200,0,0.011998737,0.017998105,0.166925707,0,0,0,0,0,0
1233,天仁,22-Jun,12332022,32.17,32.69,33.07,0.19,0.65,0,0,12332021,33.07,2021,M1200,0,-0.013909888,0.005745389,-0.015907005,0,0,0,0,0,0
1233,天仁,21-Jun,12332021,32.69,32.62,33.67,0.65,1.72,0,0,12332020,33.67,2020,M1200,0,-0.031779032,0.019305019,0.002145923,0,0,0,0,0,0
1233,天仁,20-Jun,12332020,32.62,33.26,35.79,1.72,1.93,0,0,12332019,35.79,2019,M1200,0,-0.005867561,0.048058117,-0.019242333,0,0,0,0,0,0
1233,天仁,19-Jun,12332019,33.26,31.46,32.37,1.93,1.94,0,0,12332018,32.37,2018,M1200,0,-0.000308928,0.059623108,0.057215512,0,0,0,0,0,0
1233,天仁,18-Jun,12332018,31.46,28.41,28.9,1.94,1.87,0,0,12332017,28.9,2017,M1200,0,0.002422145,0.067128028,0.107356565,0,0,0,0,0,0
1234,黑松,23-Jun,12342023,39.43,31.63,31.16,2.2,1.98,0,0,12342022,31.16,2022,M1200,0,0.007060334,0.070603338,0.246601328,0,0,0,0,0,0
1234,黑松,22-Jun,12342022,31.63,30.72,32.45,1.98,2.21,0,0,12342021,32.45,2021,M1200,0,-0.007087827,0.061016949,0.029622396,0,0,0,0,0,0
1234,黑松,21-Jun,12342021,30.72,27.05,28.43,2.21,2.1,0,0,12342020,28.43,2020,M1200,0,0.003869152,0.077734787,0.135674677,0,0,0,0,0,0
1234,黑松,20-Jun,12342020,27.05,25.64,26.68,2.1,1.73,0,0,12342019,26.68,2019,M1200,0,0.013868066,0.078710645,0.0549922,0,0,0,0,0,0
1234,黑松,19-Jun,12342019,25.64,23.64,23.37,1.73,1.32,0,0,12342018,23.37,2018,M1200,0,0.01754386,0.07402653,0.084602369,0,0,0,0,0,0
1234,黑松,18-Jun,12342018,23.64,23.47,23.38,1.32,1.41,0,0,12342017,23.38,2017,M1200,0,-0.003849444,0.056458512,0.007243289,0,0,0,0,0,0
1235,興泰,23-Jun,12352023,72.53,39.49,60.79,5.15,0.81,0,0,12352022,60.79,2022,M1200,0,0.071393321,0.084717881,0.836667511,0,0,0,0,0,0
1235,興泰,22-Jun,12352022,39.49,21.66,29.7,0.81,0.64,0,0,12352021,29.7,2021,M1200,0,0.005723906,0.027272727,0.823176362,0,0,0,0,0,0
1235,興泰,21-Jun,12352021,21.66,15.56,16.87,0.64,0.51,0,0,12352020,16.87,2020,M1200,0,0.007705987,0.037937167,0.392030848,0,0,0,0,0,0
1235,興泰,20-Jun,12352020,15.56,15.4,13.07,0.51,1.21,0,0,12352019,13.07,2019,M1200,0,-0.053557766,0.039020658,0.01038961,0,0,0,0,0,0
