Key,Year,Trade,Industry,Adopt,Adopt_Ind,RPA_Ctd,Big4,Fin,INST,SG,Cycle,CL,Zscore,INSTt,MS,LGTA,BM.x,LEV,OCF,MTB,Age,ESG,RD,ADV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12252022,2022,TSE,M1200,0,0,0,1,0,0.6558,0.142094782,81.36,0.403116968,3.539844137,0.6765,0.017404826,16.06058973,0.338743023,0.591959804,-5.69E-05,2.952090322,3.610917913,59.64,0.002526063,0.027557421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12272017,2017,TSE,M1200,0,0,0,1,0,0.5104,-0.022495721,102.63,0.314285861,7.663549661,0.7998,0.04032261,16.93829337,0.337672334,0.338443562,0.111947482,2.961450789,3.610917913,60.59,0.003649682,0.138751966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12272018,2018,TSE,M1200,0,0,0,1,0,0.7998,0.031552468,119.59,0.312986152,5.968495328,0.8117,0.039419983,16.99346672,0.354329608,0.331587843,0.109979366,2.822230989,3.610917913,61.68,0.006137176,0.146668577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12272019,2019,TSE,M1200,0,0,0,1,0,0.8117,0.125555423,121.45,0.301396859,7.247898635,0.7817,0.043073452,17.05372871,0.346104697,0.334960971,0.197207382,2.88929913,3.610917913,60.88,0.004745823,0.12688315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12272020,2020,TSE,M1200,0,0,0,1,0,0.7817,0.092844814,100.49,0.321878214,6.151767119,0.8154,0.047055445,17.14140456,0.411523273,0.352511632,0.087341398,2.429996225,3.610917913,61.67,0.004817322,0.122788779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12272021,2021,TSE,M1200,0,0,0,1,0,0.8154,-0.004640446,98.35,0.317584062,5.475944241,0.6817,0.042872341,17.15798854,0.468158908,0.34684416,0.134647395,2.136026855,3.610917913,64.55,0.005184824,0.118174302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12272022,2022,TSE,M1200,0,0,0,1,0,0.6817,-0.186159155,104.87,0.342861234,4.242915796,0.6538,0.032956947,17.14519092,0.484850027,0.360754915,0.066984795,2.06249344,3.610917913,61.64,0.005930892,0.129332499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12292017,2017,TSE,M1200,0,0,0,1,0,0.5606,-0.088166088,132.01,0.107707622,5.791693953,0.5616,0.007310132,17.20508165,1.422835854,0.1472796,0.060946748,0.702821761,4.219507705,61.9,0.006997606,0.060644601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12292018,2018,TSE,M1200,0,0,0,1,0,0.5616,0.058378899,132.82,0.150902304,4.111906327,0.59,0.007350095,17.22960126,1.104846819,0.189826723,0.073042344,0.905102846,4.219507705,60.09,0.007554801,0.058745528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12292019,2019,TSE,M1200,0,0,0,1,0,0.59,0.383673387,129.34,0.163977685,3.538852233,0.5273,0.011394822,17.65592892,1.287806661,0.19152998,0.060616488,0.776514076,4.219507705,64.71,0.004977698,0.062415876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12292020,2020,TSE,M1200,0,0,0,1,0,0.5273,0.133366149,82.18,0.176061099,3.503592945,0.5124,0.013030278,17.84065719,0.898369397,0.206085541,0.041810019,1.113127855,4.219507705,68.31,0.004164326,0.056796611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12292021,2021,TSE,M1200,0,0,0,1,0,0.5124,0.157085774,65.11,0.184934295,4.047997647,0.5023,0.014149734,18.08758628,0.816864167,0.212740896,0.026859513,1.22419374,4.219507705,67.35,0.004220771,0.054660263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12292022,2022,TSE,M1200,0,0,0,1,0,0.5023,0.081414999,58.21,0.178853595,3.411981693,0.4938,0.014045644,18.06271279,0.580659722,0.235696346,0.052075476,1.722179036,4.219507705,67.36,0.00386586,0.051317076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12312017,2017,TSE,M1200,0,0,0,1,0,0.3999,0.044583128,111.02,0.291594372,2.860145371,0.434,0.01070738,15.68482811,0.961611894,0.517689281,0.111086589,1.039920582,3.970291914,54.73,0.012168073,0.101629877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12312018,2018,TSE,M1200,0,0,0,1,0,0.434,0.133777634,96.74,0.333700497,3.094303719,0.4476,0.011703014,15.7618836,0.749378208,0.509096288,0.077001206,1.334439659,3.970291914,51.21,0.011379372,0.101935966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12312019,2019,TSE,M1200,0,0,0,1,0,0.4476,0.054957309,89.48,0.368386574,3.146042762,0.4857,0.011832372,15.8258757,0.739277433,0.5105722,0.03356383,1.352672157,3.970291914,56.2,0.010034692,0.107980728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12312020,2020,TSE,M1200,0,0,0,1,0,0.4857,0.025905601,102.4,0.276641003,2.960431755,0.4386,0.012037951,15.99282434,0.488800105,0.539185215,0.118487743,2.045826074,3.970291914,58.27,0.009364069,0.091790352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12312021,2021,TSE,M1200,0,0,0,1,0,0.4386,0.073605689,105.62,0.35160162,3.718136117,0.4314,0.011894184,16.03566022,0.323032808,0.503929595,0.112049908,3.095660797,3.970291914,63.76,0.009327486,0.092175978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12312022,2022,TSE,M1200,0,0,0,1,0,0.4314,0.116491762,97.75,0.279227612,3.823514458,0.4424,0.012275433,16.16860101,0.273116296,0.5083442,0.073839338,3.661443915,3.970291914,70.74,0.008928751,0.083996986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12322017,2017,TSE,M1200,0,0,0,1,0,0.8024,-0.029598372,53.99,0.285584729,10.29782495,0.8007,0.025712767,15.51161192,0.324134539,0.298464342,0.221764911,3.085138668,3.713572067,67.36,0.000473575,0.028041071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
